score,gc_multi,rsi,macd_buy_like,vol_surge,vol_quiet,vol_down,hurst,close,close_adj,adv20,adv20_m,hh252,pct_of_52w_high,max_dd_252,dev200,atr14,natr14,pullback_20d,pullback_60d,adx14,plus_di14,minus_di14,skip_reason,sell_score,sell_reason,sell_trend_break,sell_cross_sma25_down,sell_macd_sell_like,sell_rsi_reversal,sell_trailing_stop,sell_ext_dev200,sell_di_bear,sell_vol_distribution,sell_natr_spike,ticker,price_date,bar_is_current,skip_reason_yahoo,mkt_price,pe_ttm,pbr,eps_ttm,bps,market_cap,earn_ts,earn_start_ts,earn_end_ts,market_risk_on,market_close,market_ma200,fund_ok,earn_ts_pick,next_earn_date,days_to_earnings
8,True,54.45544554455446,True,False,True,True,0.509711494285851,1221.0,1221.0,281429370.0,281.42937,1386.277099609375,0.8807762894907903,-0.2425171752047368,0.03397021739433126,27.592632803835286,2.2598388864729966,-0.0067693066641590915,-0.11922371050920966,20.860196307445733,28.90384737633285,21.67467796385064,,0,,False,False,False,False,False,False,False,False,False,7818.T,2026-09-16,True,,1221.0,16.451092,3.1616888,74.22,386.186,69039235072.0,,1752040800.0,1752472800.0,True,,,True,1752040800.0,2025-07-09,-310.0
8,True,45.703125,True,False,True,True,0.33754062912099814,1793.0,1793.0,262320755.0,262.320755,1899.0,0.9441811479726172,-0.18422504368919645,0.029530518945993123,30.982489256807252,1.7279692837036948,-0.0302866414277988,-0.05581885202738279,25.126289328461937,25.545557445486587,22.718704741985903,,0,,False,False,False,False,False,False,False,False,False,8771.T,2026-09-16,True,,1793.0,23.261545,4.0635853,77.08,441.236,79768182784.0,1794551400.0,1794551400.0,1794551400.0,True,,,True,1794551400.0,2026-11-13,42.0
7,True,54.25455555915602,False,False,True,False,0.5199997067562776,682.7000122070312,682.7000122070312,25580900154.11499,25580.900154114992,704.5999755859375,0.9689185862365458,-0.22365269014896305,0.11967940828822976,15.746056132573852,2.306438530983767,-0.03108141376345419,-0.03108141376345419,37.313634314464274,32.71787497647581,19.71821987124062,,0,,False,False,False,False,False,False,False,False,False,5401.T,2026-09-16,True,,682.7,210.06154,0.6330546,3.25,1078.422,3567990865920.0,1785825000.0,1793773800.0,1793773800.0,True,,,True,1793773800.0,2026-11-04,35.0
7,True,54.19580419580419,False,False,True,True,0.41534254861984016,1786.0,1786.0,17837067925.0,17837.067925,1924.75,0.9279127159371346,-0.21340433822574356,0.1418242876382736,50.88512695931465,2.849111251921313,-0.045685279187817285,-0.045685279187817285,25.05176175284823,20.93059978563984,20.175562992768544,,1,macd_sell_like,False,False,True,False,False,False,False,False,False,8053.T,2026-09-16,True,,1786.0,14.332718,1.7873387,124.61,999.251,8442289324032.0,1785479400.0,1793255400.0,1793255400.0,True,,,True,1793255400.0,2026-10-29,31.0
7,True,50.04703668861712,True,False,True,True,0.265356700034467,6851.0,6851.0,14042609320.0,14042.60932,7361.0,0.930715935334873,-0.13473193473193468,0.1392782515245956,149.43961101193284,2.181281725469754,-0.016791044776119368,-0.06928406466512704,14.732320240498206,27.502437528275607,19.73855333015909,,0,,False,False,False,False,False,False,False,False,False,8630.T,2026-09-16,True,,6851.0,27.303524,1.1492959,250.92,5961.041,6075361787904.0,1795069800.0,1795069800.0,1795069800.0,True,,,True,1795069800.0,2026-11-19,46.0
7,True,52.07207207207208,False,False,True,False,0.27310604880659684,2931.0,2931.0,9025655632.5,9025.6556325,3250.0,0.9018461538461539,-0.1812307692307692,0.10488582387198031,92.68617069858067,3.1622712623193676,-0.04371941272430668,-0.09815384615384615,15.371397872093262,28.160329055420046,23.149589242940603,,1,macd_sell_like,False,False,True,False,False,False,False,False,False,9502.T,2026-09-16,True,,2931.0,9.717848,0.6987191,301.61,4194.819,2214058524672.0,1785306600.0,1793082600.0,1793082600.0,True,,,True,1793082600.0,2026-10-27,29.0
7,True,48.35164835164835,True,False,True,True,0.29483582473700415,6395.0,6395.0,7377700895.0,7377.700895,7172.0,0.8916620189626324,-0.12409369771332956,0.04943195449804905,116.08881528451381,1.815305946591303,-0.015548029556650245,-0.10833798103736758,17.64268315464859,23.005850064862525,21.235603114769507,,1,cross_sma25_down,False,True,False,False,False,False,False,False,False,9735.T,2026-09-16,True,,6395.0,23.145134,1.9622583,276.3,3259.0,2551152640000.0,1794378600.0,1794378600.0,1794378600.0,True,,,True,1794378600.0,2026-11-11,40.0
7,True,54.552075746540424,False,False,True,False,0.43946053365407706,2198.0,2198.0,4577714980.0,4577.71498,2353.532470703125,0.9339153070377401,-0.24546779696286403,0.05878784136635362,67.34669050612062,3.063998658149255,-0.05258620689655169,-0.05258620689655169,13.213893588336784,25.211561967938813,22.535385883397467,,0,,False,False,False,False,False,False,False,False,False,4183.T,2026-09-16,True,,2198.0,24.006117,0.90989435,91.56,2415.665,794658799616.0,1794378600.0,1794378600.0,1794378600.0,True,,,True,1794378600.0,2026-11-11,40.0
7,True,45.7433290978399,False,False,True,False,0.24473379271211793,1657.0,1657.0,3783148090.0,3783.14809,1745.5,0.9492981953594959,-0.29087044538898965,0.1459678424480284,40.24932016551058,2.4290476865124067,-0.05070180464050411,-0.05070180464050411,22.94528809555085,31.44279838891383,24.06879961623996,,0,,False,False,False,False,False,False,False,False,False,7752.T,2026-09-16,True,,1657.0,16.967028,0.79372346,97.66,2087.629,927399411712.0,1785738600.0,1793860200.0,1793860200.0,True,,,True,1793860200.0,2026-11-05,36.0
7,True,47.26775774029691,False,False,True,True,0.5996402614830574,872.5999755859375,872.5999755859375,2717220526.6397095,2717.2205266397095,967.4888305664062,0.9019225318343809,-0.2062957213009855,0.024041655924385008,13.180917172239871,1.5105337544146833,-0.021310005069833826,-0.026659257572852813,10.40567221119214,19.690858557157746,17.537659867241164,,0,,False,False,False,False,False,False,False,False,False,3861.T,2026-09-16,True,,872.6,14.290861,0.68340003,61.06,1276.851,741041831936.0,1785911400.0,1793946600.0,1793946600.0,True,,,True,1793946600.0,2026-11-06,37.0
